state,county,wow_decrease
Alabama,Autauga,0
Alabama,Baldwin,0
Alabama,Barbour,0
Alabama,Bibb,0
Alabama,Blount,0
Alabama,Bullock,1
Alabama,Butler,1
Alabama,Calhoun,0
Alabama,Chambers,0
Alabama,Cherokee,0
Alabama,Chilton,0
Alabama,Choctaw,0
Alabama,Clarke,0
Alabama,Clay,0
Alabama,Cleburne,0
Alabama,Coffee,1
Alabama,Colbert,0
Alabama,Conecuh,0
Alabama,Coosa,0
Alabama,Covington,0
Alabama,Crenshaw,0
Alabama,Cullman,0
Alabama,Dale,0
Alabama,Dallas,0
Alabama,DeKalb,0
Alabama,Elmore,0
Alabama,Escambia,1
Alabama,Etowah,0
Alabama,Fayette,0
Alabama,Franklin,0
Alabama,Geneva,0
Alabama,Greene,0
Alabama,Hale,1
Alabama,Henry,1
Alabama,Houston,0
Alabama,Jackson,0
Alabama,Jefferson,0
Alabama,Lamar,0
Alabama,Lauderdale,0
Alabama,Lawrence,0
Alabama,Lee,0
Alabama,Limestone,0
Alabama,Lowndes,0
Alabama,Macon,1
Alabama,Madison,0
Alabama,Marengo,0
Alabama,Marion,1
Alabama,Marshall,0
Alabama,Mobile,0
Alabama,Monroe,0
Alabama,Montgomery,0
Alabama,Morgan,0
Alabama,Perry,1
Alabama,Pickens,0
Alabama,Pike,0
Alabama,Randolph,1
Alabama,Russell,0
Alabama,Shelby,0
Alabama,St. Clair,0
Alabama,Sumter,0
Alabama,Talladega,0
Alabama,Tallapoosa,1
Alabama,Tuscaloosa,0
Alabama,Walker,0
Alabama,Washington,0
Alabama,Wilcox,1
Alabama,Winston,0
Alaska,Anchorage,0
Alaska,Bethel Census Area,0
Alaska,Fairbanks North Star Borough,0
Alaska,Juneau City and Borough,0
Alaska,Kenai Peninsula Borough,0
Alaska,Ketchikan Gateway Borough,0
Alaska,Kodiak Island Borough,0
Alaska,Matanuska-Susitna Borough,0
Alaska,Nome Census Area,0
Alaska,Petersburg Borough,0
Alaska,Prince of Wales-Hyder Census Area,0
Alaska,Southeast Fairbanks Census Area,0
Alaska,Yukon-Koyukuk Census Area,0
Arizona,Apache,0
Arizona,Cochise,0
Arizona,Coconino,0
Arizona,Gila,0
Arizona,Graham,0
Arizona,Greenlee,0
Arizona,La Paz,0
Arizona,Maricopa,0
Arizona,Mohave,0
Arizona,Navajo,0
Arizona,Pima,0
Arizona,Pinal,0
Arizona,Santa Cruz,0
Arizona,Yavapai,0
Arizona,Yuma,0
California,Alameda,0
California,Alpine,0
California,Amador,0
California,Butte,0
California,Calaveras,0
California,Colusa,0
California,Contra Costa,0
California,Del Norte,0
California,El Dorado,1
California,Fresno,1
California,Glenn,0
California,Humboldt,1
California,Imperial,1
California,Inyo,0
California,Kern,1
California,Kings,0
California,Lake,0
California,Los Angeles,1
California,Madera,1
California,Marin,0
California,Mendocino,0
California,Merced,1
California,Mono,1
California,Monterey,0
California,Napa,1
California,Nevada,1
California,Orange,1
California,Placer,1
California,Plumas,0
California,Riverside,1
California,Sacramento,0
California,San Benito,0
California,San Bernardino,1
California,San Diego,0
California,San Francisco,1
California,San Joaquin,1
California,San Luis Obispo,1
California,San Mateo,0
California,Santa Barbara,1
California,Santa Clara,0
California,Santa Cruz,1
California,Shasta,0
California,Siskiyou,0
California,Solano,0
California,Sonoma,1
California,Stanislaus,1
California,Sutter,1
California,Tehama,0
California,Tulare,0
California,Tuolumne,0
California,Ventura,1
California,Yolo,0
California,Yuba,1
Colorado,Adams,0
Colorado,Alamosa,0
Colorado,Arapahoe,0
Colorado,Archuleta,1
Colorado,Baca,1
Colorado,Boulder,0
Colorado,Broomfield,1
Colorado,Chaffee,0
Colorado,Clear Creek,0
Colorado,Costilla,0
Colorado,Crowley,0
Colorado,Custer,0
Colorado,Delta,0
Colorado,Denver,0
Colorado,Douglas,0
Colorado,Eagle,0
Colorado,El Paso,0
Colorado,Elbert,0
Colorado,Fremont,0
Colorado,Garfield,0
Colorado,Gilpin,0
Colorado,Grand,0
Colorado,Gunnison,0
Colorado,Hinsdale,0
Colorado,Huerfano,0
Colorado,Jefferson,0
Colorado,Kit Carson,0
Colorado,La Plata,0
Colorado,Lake,0
Colorado,Larimer,0
Colorado,Las Animas,0
Colorado,Lincoln,0
Colorado,Logan,0
Colorado,Mesa,0
Colorado,Mineral,0
Colorado,Moffat,0
Colorado,Montezuma,1
Colorado,Montrose,1
Colorado,Morgan,0
Colorado,Otero,0
Colorado,Ouray,0
Colorado,Park,0
Colorado,Phillips,0
Colorado,Pitkin,0
Colorado,Prowers,0
Colorado,Pueblo,1
Colorado,Rio Blanco,0
Colorado,Rio Grande,0
Colorado,Routt,0
Colorado,Saguache,0
Colorado,San Miguel,1
Colorado,Summit,1
