state,county,fips,median_household_income,pct_households_below_poverty,pct_pop_over_65,pct_pop_uninsured,pct_pop_using_public_transit,pop_density,imposed_intervention,governor_political_party,state_control_political_party,tavg_jan,tavg_feb,tavg_mar,tavg_apr,cases_since_01212020,deaths_since_01212020,high_chance_of_death_5pct,at_least_100pct_w2w3_dec,less_than_25_percent_increase_wow
Alabama,Choctaw,1023,34884,17.8,22.1,11.4,0,13.78155229,1,republican ,republican,51,53.6,66.3,64,491,0,0,0,0
Alabama,Clarke,1025,36127,18.4,19,10.8,0.1,19.07429742,1,republican ,republican,51.9,53.8,66.7,64.8,560,11,0,0,1
Alabama,Clay,1027,41225,14.8,19.8,10.2,0,21.91366533,1,republican ,republican,47.2,48.6,60.4,59,442,8,0,0,0
Alabama,Cleburne,1029,40188,12,18.8,12.8,0,26.62003522,1,republican ,republican,47.6,48.3,60,58.4,354,12,0,0,1
Alabama,Coffee,1031,53155,11.6,16.3,10.1,0,77.08846762,1,republican ,republican,52.4,54.3,67.4,65.2,1437,3,0,1,0
Alabama,Colbert,1033,47558,12.6,19.3,8.1,0.1,93.1952259,1,republican ,republican,45.5,45.1,57.9,57.2,433,32,1,0,0
Alabama,Conecuh,1035,33177,17.4,21.6,14.5,0.2,14.19313066,1,republican ,republican,52.8,55.2,67.6,66,180,0,0,0,0
Alabama,Coosa,1037,38301,8.7,21.8,7.8,0.5,16.38166426,1,republican ,republican,48.2,49.9,61.8,60.8,568,18,0,0,0
Alabama,Covington,1039,40601,13.8,20.5,11.2,0,35.95040862,1,republican ,republican,52.6,55.1,67.6,66.1,563,9,0,0,0
Alabama,Crenshaw,1041,39812,10.3,18.3,10,0.5,22.61913911,1,republican ,republican,51.1,53.4,66,64,181,0,0,0,0
Alabama,Cullman,1043,42558,11.7,18,11.8,0.1,114.0102165,1,republican ,republican,46.2,47,59.5,58.1,1148,17,0,0,1
Alabama,Dale,1045,45960,13.5,16.1,11.4,0,87.63486445,1,republican ,republican,53.1,54.3,67.7,65.7,408,0,0,0,0
Alabama,Dallas,1047,31602,24.8,16.8,12,0,38.00404296,1,republican ,republican,50.5,52.6,65.6,63.3,610,36,1,0,0
Alabama,DeKalb,1049,39233,17,16.3,14.5,0.1,92.02562542,1,republican ,republican,45,46.2,57.4,56.6,1144,29,0,0,0
Alabama,Elmore,1051,59347,9.8,14.5,8.2,0.1,131.3112898,1,republican ,republican,49.9,52,63.9,62.8,1614,16,0,0,0
Alabama,Escambia,1053,35000,17.9,17.3,15.5,0,38.75595138,1,republican ,republican,53.9,56.1,68.3,67,386,10,0,1,0
Alabama,Etowah,1055,44023,13.4,18.3,10.4,0.2,191.1236447,1,republican ,republican,47.3,47.9,59.6,58.6,2500,185,1,0,0
Alabama,Fayette,1057,37458,15,20.5,8.8,0,25.97167909,1,republican ,republican,47.8,48.5,60.7,59.8,99,0,0,0,0
Alabama,Franklin,1059,40459,14.8,16.2,12.8,0.2,49.47323381,1,republican ,republican,45.4,45.4,58.5,57.4,593,4,0,0,0
Alabama,Geneva,1061,38142,17.8,19.4,13.7,0,45.73000976,1,republican ,republican,54.3,55.4,68.2,67.1,92,0,0,0,0
Alabama,Greene,1063,21804,33.4,20.4,11.4,0,12.53587396,1,republican ,republican,49.2,50.5,63.8,61.7,760,3,0,0,0
Alabama,Hale,1065,30571,20.1,18.3,8.8,0.1,22.75047109,1,republican ,republican,48.8,50.1,63.7,61.5,647,19,0,1,0
Alabama,Henry,1067,48610,10.7,21.6,11.4,0,30.62748517,1,republican ,republican,53.2,54.1,67.7,65.9,403,7,0,1,0
Alabama,Houston,1069,45496,14,16.9,10.4,0.1,182.6005725,1,republican ,republican,54.9,55.6,68.5,67.5,1597,61,0,0,0
Alabama,Jackson,1071,39816,16.5,19.1,9.6,0,47.89110463,1,republican ,republican,44.7,45.7,56.6,56.8,956,59,1,0,0
Alabama,Jefferson,1073,51979,13.2,15,9.5,0.9,592.5535158,1,republican ,republican,48,48.5,61,60,20742,652,0,0,1
Alabama,Lamar,1075,36756,15.2,21.1,9.4,0.7,22.82398056,1,republican ,republican,47.8,48.5,61,60.2,224,0,0,0,1
Alabama,Lauderdale,1077,46265,10.5,19.3,9.1,0,138.8131328,1,republican ,republican,45.6,45.1,57,56.6,765,91,1,0,1
Alabama,Lawrence,1079,44515,13.4,17.4,8.2,0.1,47.66866176,1,republican ,republican,45.2,45.6,57.9,57.1,281,0,0,0,1
Alabama,Lee,1081,48056,12.8,11.1,7.9,0.7,270.8343221,1,republican ,republican,49.3,50.7,62.7,61.7,8219,394,0,0,1
Alabama,Limestone,1083,56460,10.2,14.7,9.6,0.2,176.6479828,1,republican ,republican,45.5,46.1,57.7,57.4,1231,0,0,0,1
Alabama,Lowndes,1085,30833,23.4,17.9,9.2,0.4,13.58548408,1,republican ,republican,51.4,53.7,66.2,64.3,719,9,0,0,0
Alabama,Macon,1087,32074,19.8,18.6,8.1,0.5,29.67671849,1,republican ,republican,50.2,52,63.9,62.9,580,42,1,1,0
Alabama,Madison,1089,63417,9.6,14.3,8.9,0.2,465.2108621,1,republican ,republican,45.3,46,57.7,57.5,6058,99,0,0,1
Alabama,Marengo,1091,32809,13.1,18.9,9.6,0,19.3091841,1,republican ,republican,50.2,51.8,65.4,62.9,784,44,1,0,0
Alabama,Marion,1093,35392,13.1,20.8,10.5,0.1,40.0206276,1,republican ,republican,46.4,46.8,59.6,58.3,1554,120,1,1,1
Alabama,Marshall,1095,42490,16.2,16.8,13.1,0.5,171.0256222,1,republican ,republican,45.9,47.1,58.7,58,4356,84,0,0,0
Alabama,Mobile,1097,46166,15,15.3,11.6,0.5,336.1041832,1,republican ,republican,54.5,56.3,68.3,67.9,16642,723,0,0,0
Alabama,Monroe,1099,30141,23.1,18.9,13.4,0.7,20.21412931,1,republican ,republican,52.7,54.7,67.4,65.6,235,23,1,0,1
Alabama,Montgomery,1101,47990,16.3,14.2,10.5,0.5,288.3927702,1,republican ,republican,51.2,53.5,65.6,64,5530,102,0,0,0
Alabama,Morgan,1103,49751,12.5,16.7,10.2,0.4,206.4855365,1,republican ,republican,45.8,46.5,58.5,57.8,1412,0,0,0,1
Alabama,Perry,1105,23561,31.7,18.6,12.7,0,12.39897807,1,republican ,republican,48.9,50.6,64.1,61.8,172,0,0,1,0
Alabama,Pickens,1107,37458,17.5,18.4,8.5,0.1,22.61315442,1,republican ,republican,48.8,49.8,62.3,61.3,893,10,0,0,0
Alabama,Pike,1109,34678,14.9,14.6,9.6,0.1,49.27181503,1,republican ,republican,51.3,53.2,65.9,63.9,1025,0,0,0,0
Alabama,Randolph,1111,41449,14.3,20,10.5,0.1,39.13878929,1,republican ,republican,47.6,48.3,60,59.2,1189,90,1,1,0
Alabama,Russell,1113,40978,15.4,13.4,13.4,0.2,90.39878422,1,republican ,republican,51.1,52,64.3,63.2,976,0,0,0,0
Alabama,St. Clair,1115,54887,10,15.9,8.8,0.2,141.7269075,1,republican ,republican,47.6,48.5,60.6,59.2,1506,0,0,0,0
Alabama,Shelby,1117,75761,5.1,14.3,6.8,0,277.1918255,1,republican ,republican,48.1,49.1,61.4,60.1,7442,197,0,0,1
Alabama,Sumter,1119,23132,21.3,16.9,15.5,0.4,13.74932539,1,republican ,republican,50,51.8,65,62.5,921,14,0,0,0
Alabama,Talladega,1121,41012,15.8,17.1,9.3,0.4,108.5483499,1,republican ,republican,47.8,49.4,61.4,59.8,1192,28,0,0,0
Alabama,Tallapoosa,1123,43361,16,20.4,8.1,0.1,56.33743492,1,republican ,republican,48,49.7,61.4,60.6,4436,261,1,1,0
Alabama,Tuscaloosa,1125,52221,11.2,12.5,7.5,0.3,158.4990799,1,republican ,republican,48.7,49.5,61.9,61,4017,6,0,0,0
Alabama,Walker,1127,41748,14.3,18.6,11,0.2,80.30445929,1,republican ,republican,47.5,48,60.6,59.5,2483,0,0,0,1
Alabama,Washington,1129,40794,16.3,18.3,9.6,0,15.11378523,1,republican ,republican,52.4,54.7,67.2,65.6,465,30,1,0,0
Alabama,Wilcox,1131,27237,20.9,18.4,11.6,0.3,11.67538847,1,republican ,republican,51.2,53.2,66.2,64,1060,12,0,1,0
Alabama,Winston,1133,38504,12.4,21.1,12.3,0.4,38.54767233,1,republican ,republican,45.8,46,58.8,57.5,220,0,0,0,0
Alaska,Anchorage,2020,83280,6.1,10,12.2,1.6,168.7368238,1,republican ,republican,3,17,18.1,31,4394,117,0,0,0
Alaska,Bethel,2050,54212,24.9,7.1,20.7,0.5,0.452515847,1,republican ,republican,-4.8,8.4,16.6,33.6,24,0,0,0,0
Alaska,Fairbanks North Star,2090,77095,5,9.2,10,1,13.2134303,1,republican ,republican,-13.7,-1.3,9.3,29.1,2358,47,0,0,0
Alaska,Kenai Peninsula,2122,66684,7.8,15.6,17.2,0.7,3.663939379,1,republican ,republican,4,18.5,20.8,33,506,0,0,0,1
Alaska,Ketchikan Gateway,2130,70356,7.4,14.1,13.2,3.6,2.862098725,1,republican ,republican,23.9,30.4,31,37.3,567,0,0,0,1
Alaska,Kodiak Island ,2150,78281,9.5,9.1,20.3,0,1.964820172,1,republican ,republican,15,25.8,28,38.6,15,0,0,0,0
Alaska,Matanuska-Susitna,2170,75905,7.3,10.7,15.2,0.8,4.382798914,1,republican ,republican,-4.6,10.6,13.2,27.4,423,17,0,0,0
Alaska,Nome Census,2180,58987,20.3,7.5,22.5,0.4,0.435524236,1,republican ,republican,-4.6,-8,10,23.2,16,0,0,0,0
Alaska,Southeast Fairbanks,2240,71541,7.6,12.9,15.6,0.4,0.277688418,1,republican ,republican,-16.6,-3,6.4,26.4,28,0,0,0,0
Alaska,Yukon-Koyukuk,2290,40000,20,13.6,29.2,0.5,0.035926371,1,republican ,republican,-16.1,-7.4,7.9,27.3,29,0,0,0,0
Arizona,Apache,4001,32963,28.2,14.6,23.5,1.1,6.41977244,1,republican ,republican,32.6,36,43.3,50.4,4890,97,0,0,0
Arizona,Cochise,4003,48649,13.2,21,8.2,0.8,20.27811514,1,republican ,republican,46,47,53.2,60.1,633,0,0,0,0
Arizona,Coconino,4005,57616,10.9,11.6,12.3,1.5,7.706809246,1,republican ,republican,35.5,38.7,43.9,52.4,8970,757,1,0,0
Arizona,Gila,4007,42092,15.3,27.7,11.3,0.2,11.35309892,1,republican ,republican,44.2,45.6,50.5,58.8,188,0,0,0,0
Arizona,Graham,4009,51352,16.3,13.2,8.5,0.3,8.402863168,1,republican ,republican,45.2,46.7,52.4,60.7,143,0,0,0,0
Arizona,Greenlee,4011,60962,9,12.2,7.3,0,5.15595627,1,republican ,republican,41.4,43.1,48.7,56.4,52,0,0,0,0
Arizona,La Paz,4012,33333,16.3,37.9,14.5,0.7,4.694466489,1,republican ,republican,53.8,56.5,60.1,70,162,19,1,0,0
Arizona,Maricopa,4013,61606,10.6,14.5,11.1,2.1,487.509549,1,republican ,republican,53.6,55.4,59.6,69.1,72797,2138,0,0,0
Arizona,Mohave,4015,43266,11.6,28.8,10.4,0.9,15.91533296,1,republican ,republican,45.5,47.7,51,60.5,1508,72,0,0,0
Arizona,Navajo,4017,40054,22.4,16.9,13.5,1.1,11.14808127,1,republican ,republican,33.8,37.1,44.2,52.3,12570,289,0,0,0
Arizona,Pima,4019,51037,12.4,18.7,9.9,2.5,113.9747868,1,republican ,republican,52.1,52.9,57.6,66.2,23413,1319,1,0,0
Arizona,Pinal,4021,55550,9.9,19.3,8.8,0.2,86.24393453,1,republican ,republican,51.5,53.4,58.7,67.2,6820,147,0,0,0
Arizona,Santa Cruz,4023,40467,19.9,16.9,11.6,0.3,37.61259939,1,republican ,republican,47,47.4,52,58.7,493,0,0,0,0
Arizona,Yavapai,4025,50180,8.8,29.8,10.4,0.4,28.9420351,1,republican ,republican,44.4,45.9,48.9,57.3,2006,27,0,0,1
Arizona,Yuma,4027,44058,17.5,18,13.3,1.9,38.77280214,1,republican ,republican,55.5,57.4,61.5,71,888,18,0,0,1
California,Alameda,6001,92574,6.8,13.1,5.1,15,2266.803836,1,democrat,democrat,48.7,53.7,51.5,57.8,33257,1032,0,0,0
California,Alpine,6003,64688,6.2,25.6,10.3,0.3,1.529105138,1,democrat,democrat,33.8,35,32.3,41.4,43,0,0,0,0
California,Amador,6005,61198,5.1,26.3,4.2,0.2,66.8582095,1,democrat,democrat,44.8,50.8,47,55.1,170,0,0,0,0
California,Butte,6007,48443,11.5,17.7,7.4,1.2,133.9366984,1,democrat,democrat,46.2,52,49.8,58.3,481,0,0,0,0
California,Calaveras,6009,58151,7.8,27,5.2,1.1,45.00494912,1,democrat,democrat,45,51.6,47.3,55.4,301,0,0,0,0
California,Colusa,6011,56704,10.6,13.8,10.3,0.4,18.72491304,1,democrat,democrat,46.6,53.1,51.3,61.2,88,0,0,0,0
California,Contra Costa,6013,93712,6.5,15,5.7,10.6,1608.642321,1,democrat,democrat,48.7,55.1,52.3,59,19949,478,0,0,0
California,Del Norte,6015,45258,15.9,16.7,6.3,0.8,27.63986387,1,democrat,democrat,41,43.7,43,51.2,61,0,0,0,0
California,El Dorado,6017,80582,5.4,19.7,5.2,1.7,112.9159494,1,democrat,democrat,41.8,46.1,42.3,51,1105,0,0,1,0
California,Fresno,6019,51261,19.7,11.7,9.5,1.2,167.6799017,1,democrat,democrat,41.8,46.5,44.8,53,8997,151,0,1,0
California,Glenn,6021,47395,14.5,15.4,9.6,0.4,21.60859995,1,democrat,democrat,46.1,51.1,50.5,59.7,113,0,0,0,0
California,Humboldt,6023,45528,10.2,16.7,9.7,2,37.99127697,1,democrat,democrat,44.3,45.6,45.8,53.3,1645,0,0,1,0
California,Imperial,6025,45834,21,12.5,9.3,0.8,43.39919268,1,democrat,democrat,58,60.2,61.7,72.3,4739,102,0,1,0
California,Inyo,6027,52874,9,22.9,6.4,0.9,1.769011329,1,democrat,democrat,44.6,48.4,47.6,58.1,490,8,0,0,1
California,Kern,6029,52479,18,10.4,9,0.8,110.6947351,1,democrat,democrat,46.7,52,50.7,59.2,15969,100,0,1,0
California,Kings,6031,53865,16.6,9.7,8.2,0.3,110.0043174,1,democrat,democrat,47.4,53.7,54.4,62.8,859,20,0,0,0
California,Lake,6033,42475,16.4,21.7,9.5,0.7,51.24187899,1,democrat,democrat,44.9,50.8,46.5,55.5,127,0,0,0,0
California,Los Angeles,6037,64251,12.2,12.9,10.8,6,2473.50735,1,democrat,democrat,51.4,54.2,51,58.6,378489,15069,0,1,0
California,Madera,6039,52884,16.9,13.4,9.4,0.5,73.62298192,1,democrat,democrat,42.6,47.2,45.7,53.9,1173,63,1,1,0
California,Marin,6041,110217,4.1,21,4,9.5,497.3152999,1,democrat,democrat,50.2,54.7,51.2,55,6231,305,0,0,0
California,Mendocino,6045,49233,13.5,20.4,9.3,0.2,24.74048157,1,democrat,democrat,45.8,49.9,46.6,54.4,204,0,0,0,0
California,Merced,6047,50129,19,10.9,8.7,1.2,143.4214614,1,democrat,democrat,47.8,53.2,53,61.5,2184,72,0,1,0
California,Mono,6051,63018,4,14.3,16.6,18.9,4.737311869,1,democrat,democrat,32.3,33.9,32.1,42.1,729,31,0,1,1
California,Monterey,6053,66676,10.5,12.8,11.2,1.6,132.2662889,1,democrat,democrat,48.9,51.8,50.7,56.7,3819,109,0,0,0
California,Napa,6055,84753,5.2,18,6.5,1.7,184.0855202,1,democrat,democrat,48.1,53.6,51.1,58.8,1372,59,0,1,0
California,Nevada,6057,63240,6.2,25.4,7.8,0.8,104.1544674,1,democrat,democrat,39.4,44.5,41.2,50,1151,28,0,1,0
California,Orange,6059,85398,7.9,13.9,8.4,2,4005.616646,1,democrat,democrat,57,58.9,56.2,61.5,46382,801,0,1,0
California,Placer,6061,84357,5.7,18.7,4.7,1.2,283.0901852,1,democrat,democrat,40.8,45.5,42.8,51.5,4244,205,0,1,0
California,Plumas,6063,53270,6.8,26.7,3.5,0.5,7.366447525,1,democrat,democrat,35.3,38.4,35.9,45.6,107,0,0,0,0
California,Riverside,6065,63948,11.3,13.8,10,1.3,342.703209,1,democrat,democrat,53.8,56.1,56.3,65.8,67083,2156,0,1,0
California,Sacramento,6067,63902,11.8,13.4,6.3,2.6,1607.935002,1,democrat,democrat,48.8,54.5,54.2,61.9,25135,943,0,0,0
California,San Benito,6069,81977,7.3,12.1,7.4,0.6,45.22948609,1,democrat,democrat,46.8,51,48.8,56.2,1298,73,1,0,0
California,San Bernardino,6071,60164,13.7,10.9,9.4,1.5,108.6355245,1,democrat,democrat,50.1,53.7,54,63.7,33603,1411,0,1,0
California,San Diego,6073,74855,8.7,13.3,8.7,2.9,792.9143838,1,democrat,democrat,53.5,54.5,52.5,60,68304,2036,0,0,0
California,San Francisco,6075,104552,5.8,15.1,4.4,34.2,18795.22351,1,democrat,democrat,51.1,55.3,52.9,56.2,33138,508,0,1,0
California,San Joaquin,6077,61145,12.7,12.2,7.5,1.5,547.388857,1,democrat,democrat,49.1,55.1,54.2,62.2,11806,568,0,1,0
California,San Luis Obispo,6079,70699,6.5,18.7,7.5,1.2,85.77518009,1,democrat,democrat,49,52.2,50.3,57,4449,27,0,1,0
California,San Mateo,6081,113776,4.2,15.4,4.8,10.7,1708.681851,1,democrat,democrat,50.5,53.6,52,55.6,26350,883,0,0,0
California,Santa Barbara,6083,71657,9,14.6,10.6,3.1,163.2434647,1,democrat,democrat,50.7,52.7,50.6,56.2,10439,107,0,1,0
California,Santa Clara,6085,116178,4.9,12.8,4.8,4.3,1493.204666,1,democrat,democrat,47.6,52.4,50,56.4,57843,2356,0,0,0
California,Santa Cruz,6087,78041,8,15,6.2,2.9,613.8286349,1,democrat,democrat,50.8,53,51.8,55.7,3210,49,0,1,0
California,Shasta,6089,50905,10.8,19.9,7.5,0.7,47.69744351,1,democrat,democrat,40.6,45.9,44.2,54.3,774,98,1,0,0
California,Siskiyou,6093,44200,13.3,24,7,0.5,6.934322374,1,democrat,democrat,35.7,39.3,39.1,48.5,167,0,0,0,0
California,Solano,6095,77609,7.9,14.7,5.6,3,544.7010303,1,democrat,democrat,48.9,54.7,53.6,61,5333,73,0,0,0
California,Sonoma,6097,76753,6.1,18.2,6.9,1.8,313.7462224,1,democrat,democrat,49.1,53.8,50,56.3,5566,63,0,1,0
California,Stanislaus,6099,57387,12.7,12.6,6.5,0.8,368.0839254,1,democrat,democrat,48,53.6,52.4,60.6,5765,105,0,1,0
California,Sutter,6101,56955,13.3,14.8,9.6,0.9,160.9395951,1,democrat,democrat,48.3,54.2,54.2,63,735,55,1,1,0
California,Tehama,6103,42899,14.9,18.9,7.3,0.3,22.06883095,1,democrat,democrat,44.5,50.6,48.2,57.6,28,5,1,0,0
California,Tulare,6107,47518,21.4,10.9,9.8,0.7,96.63466747,1,democrat,democrat,40.1,44.3,42.7,50.9,10118,517,1,0,0
California,Tuolumne,6109,56493,8.3,24.8,5.7,0.5,24.5300138,1,democrat,democrat,38.8,42.6,37.8,47,60,0,0,0,0
California,Ventura,6111,84017,6.6,14.6,9.3,1.2,459.1682555,1,democrat,democrat,49.2,50.4,48.3,55.2,11723,371,0,1,0
California,Yolo,6113,65923,9.3,11.8,5.9,4.2,217.2986675,1,democrat,democrat,48.5,54.6,53.3,62.4,3407,228,1,0,0
California,Yuba,6115,52624,15.2,12,8,0.9,124.4715332,1,democrat,democrat,46.6,53.4,50.6,59.6,467,26,1,1,0
Colorado,Adams,8001,67575,8.5,9.9,11.1,3.7,443.6411668,1,democrat,democrat,32.5,28,41.6,45.4,25253,975,0,0,0
Colorado,Alamosa,8003,39191,16.7,12.8,14,0.1,22.46542445,1,democrat,democrat,18.5,26.3,38,45.3,221,44,1,0,0
Colorado,Arapahoe,8005,73925,6.3,12.3,8.2,4.2,822.8359989,1,democrat,democrat,32.5,27.5,41.1,44.6,42182,1892,0,0,0
Colorado,Archuleta,8007,50753,7.4,24.5,11.1,0.1,10.39117334,1,democrat,democrat,24.3,28.1,36.3,44.1,185,0,0,1,1
Colorado,Baca,8009,37500,15.4,25.9,6.8,0,1.401569534,1,democrat,democrat,35.5,32.9,47.7,50.9,290,0,0,1,1
Colorado,Boulder,8013,78642,5.5,13.1,5,4.7,449.0721707,1,democrat,democrat,29.8,25.9,37.4,40.8,10556,483,0,0,0
Colorado,Chaffee,8015,54580,6.4,24.4,10.4,0.4,20.08666912,1,democrat,democrat,19.9,20.6,31,35.9,1234,179,1,0,0
Colorado,Clear Creek,8019,69936,3.1,18.9,9,0.6,24.55243145,1,democrat,democrat,22.4,18.6,30.1,33.2,352,10,0,0,0
Colorado,Costilla,8023,30593,26,26.8,11.6,0,3.166357728,1,democrat,democrat,23.1,26.3,36.6,43.2,99,0,0,0,0
Colorado,Crowley,8025,37586,18,12.9,7,0,7.697216206,1,democrat,democrat,33,30.2,45.6,49.1,63,43,1,0,0
Colorado,Custer,8027,44644,10,36.3,15.5,0,6.861390571,1,democrat,democrat,25.2,23.9,35.8,39.2,57,0,0,0,0
Colorado,Delta,8029,44512,11.8,24.7,10.2,0.5,27.28422028,1,democrat,democrat,25,28.5,40.1,46.2,496,23,0,0,0
Colorado,Denver,8031,63793,10,11.4,10.3,6.5,4743.955268,1,democrat,democrat,34.7,29.3,42.8,46.3,52088,2136,0,0,0
Colorado,Douglas,8035,115314,2.3,10.9,2.9,1.9,417.9154884,1,democrat,democrat,31.9,25.6,39.2,42.3,10740,392,0,0,0
Colorado,Eagle,8037,84685,3.8,10.1,15.1,5.1,32.7266087,1,democrat,democrat,21.1,20.6,32.5,37.5,15316,197,0,0,0
Colorado,Elbert,8039,96658,3.1,14.7,5.8,0.1,14.44157921,1,democrat,democrat,31.1,27,40.1,43.6,573,27,0,0,0
Colorado,El Paso,8041,65334,7.7,12.1,7.4,0.8,338.7184128,1,democrat,democrat,32.2,27.9,41,44.6,21249,1427,1,0,0
Colorado,Fremont,8043,46296,11.1,20.9,7.1,0.2,31.20445954,1,democrat,democrat,28.9,25.2,39,42,327,0,0,0,0
Colorado,Garfield,8045,72898,5.9,12,17.1,3.8,20.37744818,1,democrat,democrat,23.3,24.3,36.2,41.2,2119,54,0,0,1
Colorado,Gilpin,8047,75120,2.9,14.5,4.6,0.5,41.61373028,1,democrat,democrat,25.3,20.8,32.2,35,22,0,0,0,0
Colorado,Grand,8049,70469,4.2,16.1,14.8,3.5,8.521233752,1,democrat,democrat,19.4,16.6,30.2,34.9,159,0,0,0,0
Colorado,Gunnison,8051,54979,5.5,12.4,10.8,4.4,5.390934307,1,democrat,democrat,17.5,19.8,31.2,37.2,4133,91,0,0,1
Colorado,Hinsdale,8053,52188,8.1,27.4,10.3,0,0.73395754,1,democrat,democrat,19.2,20.4,28.4,35.2,77,0,0,0,0
Colorado,Huerfano,8055,36705,13.5,30.9,8.6,0.1,4.334919592,1,democrat,democrat,30.9,29,41.3,44.8,44,0,0,0,0
Colorado,Jefferson,8059,78943,4.3,15.6,5.8,3.4,762.5969655,1,democrat,democrat,31.8,26,38.5,41.1,27552,1125,0,0,0
Colorado,Kit Carson,8063,51046,6.7,18,12.6,0.8,3.284398904,1,democrat,democrat,34.1,31.7,44,47,365,24,1,0,0
Colorado,Lake,8065,46918,11.3,11.7,14.7,0.6,21.56165781,1,democrat,democrat,17.1,16.5,26.4,32.2,234,0,0,0,0
Colorado,La Plata,8067,64372,4.5,15.7,9.1,0.7,33.27313203,1,democrat,democrat,26.1,29.4,37.3,44.6,1461,0,0,0,0
Colorado,Larimer,8069,67664,5.7,14.7,6.3,1.5,137.4922924,1,democrat,democrat,26.9,22.6,34.8,37.7,7359,371,1,0,0
Colorado,Las Animas,8071,41945,11.6,22.9,9.3,0.8,3.039218086,1,democrat,democrat,34.2,32,45.8,48.4,65,0,0,0,0
Colorado,Lincoln,8073,49423,8.4,17.1,4,0,2.211679252,1,democrat,democrat,32.3,29.6,42.6,45.9,69,0,0,0,0
Colorado,Logan,8075,48922,9,16.8,9.1,0.6,12.18808802,1,democrat,democrat,32.7,30.2,41.4,45.2,1927,14,0,0,0
Colorado,Mesa,8077,53683,11.7,17.9,10.1,0.4,46.32440569,1,democrat,democrat,25.1,28.4,40.5,46.1,1061,0,0,0,0
Colorado,Mineral,8079,61058,6.7,30.4,8.3,0,0.878093997,1,democrat,democrat,18.8,20.6,29.2,36.1,64,0,0,0,0
Colorado,Moffat,8081,52807,9.5,13.9,13.5,0.8,2.80040439,1,democrat,democrat,22.4,21.2,36,42.1,143,0,0,0,0
Colorado,Montezuma,8083,46797,10.6,20.7,12.9,0,12.902166,1,democrat,democrat,29.5,32.5,41.3,48,340,50,1,1,0
Colorado,Montrose,8085,48739,12.2,22.4,10.9,0.3,19.08033381,1,democrat,democrat,26.3,29.9,40.5,46.5,1899,174,1,1,0
Colorado,Morgan,8087,51626,6.2,15.3,7.9,0.1,22.70076873,1,democrat,democrat,32.2,29.4,41.5,45.2,4070,120,0,0,0
Colorado,Otero,8089,34136,20.3,19.7,9.6,0.3,14.48398203,1,democrat,democrat,35.2,31.9,47.6,50.3,187,7,0,0,0
Colorado,Ouray,8091,62230,7,27.2,10.1,0,9.1433974,1,democrat,democrat,22.7,24.6,34.7,41.2,114,22,1,0,0
Ohio,Adams,39001,36894,16.6,16.9,8.7,0.5,47.4388731,1,republican ,republican,37.9,36.1,48.4,50.8,85,0,0,0,0
Ohio,Allen,39003,50552,10.4,16.7,6.7,0.6,254.285828,1,republican ,republican,33.4,31,42.9,47.1,1784,237,1,1,0
Ohio,Ashland,39005,52730,8,17.9,8.7,0.4,126.4512657,1,republican ,republican,34.1,30.6,42.8,46.2,160,0,0,0,0
Ohio,Ashtabula,39007,44823,14.2,18.1,9.2,0.5,138.5055879,1,republican ,republican,32.7,30.7,41.8,43.8,1661,130,1,0,0
Ohio,Athens,39009,37778,17.4,12.1,6.3,0.8,129.7131592,1,republican ,republican,37.3,35.5,47.5,50,104,32,1,0,0
